incident_id,entity_id,metric,series_id,timestamp,available_at,value,kind
demo-000,amf,cpu,amf:cpu,1756681200,1756681205,43.0018,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681200,1756681205,24.14689,gauge
demo-000,amf,cpu,amf:cpu,1756681260,1756681265,38.73503,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681260,1756681265,27.44087,gauge
demo-000,amf,cpu,amf:cpu,1756681320,1756681325,41.87004,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681320,1756681325,31.10625,gauge
demo-000,amf,cpu,amf:cpu,1756681380,1756681385,39.8003,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681380,1756681385,27.95721,gauge
demo-000,amf,cpu,amf:cpu,1756681440,1756681445,42.12924,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681440,1756681445,31.2382,gauge
demo-000,amf,cpu,amf:cpu,1756681500,1756681505,38.37434,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681500,1756681505,27.55868,gauge
demo-000,amf,cpu,amf:cpu,1756681560,1756681565,39.54421,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681560,1756681565,27.52656,gauge
demo-000,amf,cpu,amf:cpu,1756681620,1756681625,42.17262,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681620,1756681625,30.69648,gauge
demo-000,amf,cpu,amf:cpu,1756681680,1756681685,43.48572,gauge
demo-000,amf,cpu,amf:cpu,1756681740,1756681745,42.52515,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681740,1756681745,29.04099,gauge
demo-000,amf,cpu,amf:cpu,1756681800,1756681805,38.89943,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681800,1756681805,27.40251,gauge
demo-000,amf,cpu,amf:cpu,1756681860,1756681865,38.66046,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681860,1756681865,31.75867,gauge
demo-000,amf,cpu,amf:cpu,1756681920,1756681925,38.6051,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681920,1756681925,32.57393,gauge
demo-000,amf,cpu,amf:cpu,1756681980,1756681985,41.98864,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756681980,1756681985,32.07146,gauge
demo-000,amf,cpu,amf:cpu,1756682040,1756682045,42.50236,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756682040,1756682045,31.37033,gauge
demo-000,amf,cpu,amf:cpu,1756682100,1756682105,38.47305,gauge
demo-000,amf,latency_ms,amf:latency_ms,1756682100,1756682105,31.46092,gauge
